,XGBoost,LightGBM,CatBoost,GrootCV,GrootCV.fastshap,Boruta_Shap,Boruta_rf,arfsfs,Pymrmr
5082,TAS1R2,CDC42BPG,HSBP1,SLC35A2,STK39,TSSK2,MGC14436,PROK2,CHERP
5083,LOC254312,PRR18,AP2B1,ZBTB32,ZNF577,PRR22,SP100,PBLD,KSR1
5084,TAS1R1,EGLN3,USF1,DGKG,FOXJ1,C10orf28,MSL3L2,OR5K1,PRKAA1
5085,NEIL1,CDKL5,RNASE11,SPRYD3,VEGFC,LOC441666,TULP4,OR6C3,ZFYVE21
5086,RPL13AP17,AKAP8L,MYCBPAP,AP1AR,CCR8,P4HA1,TCL1A,DSG2,ALS2CR11
5087,LARP4B,SPRY3,ZNF75D,SCARNA7,psiTPTE22,LOR,CCDC27,ERP44,MAN2C1
5088,INPP5E,CCDC40,TMEM14A,HS6ST3,LDOC1L,TBX2,P704P,C6orf27,LOC285074
5089,UBTD2,CCDC41,FAM73A,TRIM3,DNAH6,CTBP2,GRASP,C6orf26,IFNAR1
5090,CSTF2T,CCDC42,CCL1,MOBKL2A,VDAC2,RAD54L2,TXK,C6orf25,PPP1R10
5091,SAP30L,CCDC43,CSDAP1,TTK,ATP6V0D1,KRT28,SV2A,DSG3,TECTB
5092,TRMT11,TMEM139,CCL8,RPS6KA2,ETFDH,C10orf27,MTMR1,GCAT,PYDC1
5093,BRP44L,CCDC45,TAS2R20,SDC2,NXNL2,TSG101,TAZ,GHSR,FYN
5094,NME2,C7,DHRS7C,RFX6,SKAP2,CLEC2L,MTNR1A,N4BP1,PCDHB19P
5095,SMG6,CCDC46,CCL4,EDIL3,NFKBIL1,ORAI2,GOLGA6B,TP63,LOC151009
5096,NOL12,C9,CCL7,TMEM80,GRIK4,LOC338758,EMD,HIST2H2AA3,DCTN6
5097,NOL10,CCDC47,NFATC4,SMC4,CLDN12,VENTX,NMD3,VPS26A,NRG3
5098,CCL2,PSMA1,SMG6,GRIP2,DMRTC1B,HACL1,OR51Q1,VPS26B,QPCTL
5099,9-Mar,CCDC48,ZNF560,MCPH1,LOC162632,FAM158A,NECAP1,KLRD1,SLC5A9
5100,EIF3K,HSD17B10,STYK1,MYL4,ELOVL6,GTF3C3,LOC731779,ZNF101,PCBP3
5101,EIF3J,SLC7A13,FGFBP3,GNRHR,MCM3APAS,PLAUR,SUMO2,PRKCD,GUK1
5102,EIF3I,SPRY1,NOL11,ZNF580,WBSCR27,VSIG10L,PCDHA11,PGPEP1,HAUS1
5103,EIF3H,HSD17B11,TMEM104,RNF111,CCDC37,SNORA70C,VTCN1,FLJ39653,PSMA6
5104,CLSTN3,TRPC6,MKKS,NLE1,C12orf24,GTF3C6,TBC1D22A,ZC3H7A,LOC100127888
5105,CLSTN2,TPM1,ARMC10,STAG3L1,C15orf59,GTF3C5,STT3A,SREBF2,UCK2
5106,CLSTN1,SPDYE3,FADD,SNORA67,GPHN,GTF3C4,CACNG6,OR13G1,HSPA14
5107,FOXI2,ZEB1,FGFBP1,GDAP1,NRG4,APOA4,WDR18,SLC29A4,DNAH8
5108,EIF3M,HDHD1A,FGFBP2,ABCF3,SEMA4G,APOA5,LYPD2,OXCT1,CYP2C18
5109,FOXI3,SNAP25,SETD5,RPP14,OSTC,CLEC2A,GZMM,DSG4,NME3
5110,BTN3A2,RASSF10,ELSPBP1,KIAA0892,CDC42,PTRH1,ZNF26,OXCT2,RPS27A
5111,FOXI1,PLD6,EIF3G,FBLN1,ZNF408,CD99L2,ZNF845,SLC48A1,SEC23B
5112,LRTM1,FAM177B,ALMS1P,IDE,MAN1A1,TBC1D25,SERPINB7,TXNDC17,ITGB1
5113,3-Mar,COASY,CLIP1,MSMP,SCARB1,HKDC1,HIATL2,STAC,ABHD15
5114,1-Mar,UTY,EIF3D,HNF1A,STX2,RAP1GAP2,RILPL2,CIC,PTHLH
5115,6-Mar,PILRA,BTN3A1,F8,LOC643719,C11orf59,CUL4B,KARS,RYR1
5116,EIF3L,CNTD2,EIF3B,SEMA5B,PTGES,SLC25A6,POU6F2,TMEM20,ZNF846
5117,PGCP,MRGPRX4,EIF3A,DGKH,HIPK2,PRKAG1,FSCN1,RAB39B,AKR1C4
5118,NOL11,TMEM136,NOL10,OTOA,BHLHE22,MPDU1,METTL8,KIF16B,PSMD10
5119,SETD5,PSMA6,NOL12,LY96,MGAT4A,CRBN,PRDX5,SSRP1,FADD
5120,TMEM104,PSMA7,TCF4,SLC37A2,RFX1,NET1,MGA,LOC100128292,IGF2
5121,MKKS,SNORD114-4,CLRN1OS,LMAN1,OVGP1,IRX5,WBP11P1,IL12B,FMO9P
5122,ARMC10,DSG1,EDEM1,RELA,SBF2,IRX4,RGS5,IL12A,CFTR
5123,FADD,DNAH3,PCDHGB3,SULT1C2,NPTXR,IRX6,AHSP,TMEM26,CR1
5124,FGFBP1,EGLN1,EDEM3,RBMS3,C1orf174,IRX1,RAET1E,IRAK1BP1,WDR46
5125,FGFBP2,DNAH1,EDEM2,CALM1,FOXD4L2,IRX3,GEMIN8P4,LOC389332,GALNTL1
5126,FGFBP3,DNAH6,NME7,SCARA3,TMEM185A,IRX2,FKBP8,SPINK8,SPRR2B
5127,EIF3G,DNAH7,FABP9,PKNOX1,MCAM,TCAP,FKBP9,CIT,PTENP1
5128,CLIP2,PSMA8,NME6,HEXB,UQCRC1,HIPK3,FBXW10,SRF,UBE2N
5129,ALMS1P,TP53BP2,ZBBX,NUP210L,KDELC2,PRKAG2,LOC100270710,ASAM,HDAC1
5130,CLIP1,DNAH5,CDKN2B,C7orf42,PRUNE2,TMEM185B,C20orf195,TXNDC12,F2RL2
5131,EIF3D,HSD17B13,ZNF404,LRRC31,CYP4F22,JRKL,CYBASC3,WFDC9,SLCO3A1
5132,BTN3A1,C2,WDR7,NMB,SF3B1,MUC2,CHRNA5,PRO0628,NDUFS4
5133,EIF3B,SFRP5,BARD1,CUZD1,HIATL2,KIAA1522,LOC645323,TSSK3,GAK
5134,EIF3A,DNAH8,CDKN2D,F11R,ABRA,TAC3,FAM160A2,C1orf97,SRD5A3
5135,STYK1,DNAH9,SLIT1,KIAA0020,EFNA1,LRRC24,SLC25A5,LOC283392,FAM50A
5136,SMG1,PSMD8,CDKN2A,SEC61G,ACPL2,MUC6,TWIST1,TRPV3,XPO5
5137,CCL3,OBSL1,CDKN2C,SLC10A5,STOML1,CRB3,IFNA14,TAF6L,FAM71E1
5138,MPZL3,OR2Y1,EIF5,MLC1,PIAS4,KIAA1524,FLVCR2,C1orf96,CASP10
5139,SDSL,MYBPC3,C5orf51,ESYT1,ULK3,GC,FAM8A1,SNUPN,B3GNT1
5140,PCDH10,MYBPC2,C5orf55,GNL3L,NTN3,LRRC26,ARL8B,SHPRH,MCC
5141,PCDH12,MYBPC1,C17orf61,WNT3A,ZNF185,GK,IK,DAO,KIAA1257
5142,ZNF454,MIMT1,ZNF32,INO80,MRPS18B,PRR25,RIPK3,TATDN1,STEAP1
5143,PCDHGB6,MCM3,AK3L1,COQ10B,ZYG11A,IQSEC3,IDE,ST8SIA2,FLT1
5144,ASFMR1,OR9K2,ZNF34,TSPAN14,TMEM8B,?|441362,EXD2,FIGLA,TXNDC9
5145,PRR12,C3,TXNDC16,MED7,TMED7-TICAM2,KIAA0907,RPL31P11,DAK,HMGB2
5146,RALY,PSMA5,DSN1,PLEKHA9,NTNG1,GIT1,ZPLD1,C1orf175,CNNM4
5147,ZNF37A,FLG,ACTC1,ZNF491,TOR3A,ZEB2,A4GALT,C1orf174,TUFM
5148,PCDH15,MCM2,LAGE3,TAT,PUS7,MYO16,RG9MTD2,C1orf177,MYBL1
5149,PRIC285,HSD17B12,XAGE3,HECA,HOXA10,LOC157381,RPUSD3,DAP,HECA
5150,ZBTB43,TMEM130,RASIP1,DOK4,ZBP1,ATAD5,DYNC1LI1,C1orf170,SLC29A1
5151,KIAA1826,TMEM131,XAGE5,SNURF,SLC16A6,SFT2D2,C21orf99,C1orf173,TEX19
5152,LOC728875,C14orf183,MDFI,DDB1,BIN2,SFT2D1,GNAO1,C1orf172,COG7
5153,SPEG,C14orf181,FGF21,DDX17,AMT,ATAD1,RALGDS,MLANA,HSPB8
5154,ZNF37B,CYP4Z2P,FGF20,CAP1,KRR1,IBTK,FKBP1A,FOXO3B,USP6
5155,CD40,PDZD9,FGF23,REPS1,STAC3,TOP1,DYNLL1,MTA1,APEH
5156,ALKBH8,TXNDC11,FGF22,SYBU,KIAA1683,AVPI1,LOC340017,MTA2,VTI1B
5157,ALKBH6,TNC,NVL,SFT2D3,LPPR5,C22orf28,ANKRA2,C1orf92,HMP19
5158,TCTE3,ZNF296,RIMS4,CBX1,MTERFD3,C22orf29,CAP1,LRP10,NCRNA00152
5159,C8orf58,VSIG10,SNORD36B,NCK1,GGH,FRAT2,HLA-DRA,LRP11,DEGS2
5160,KRT18,GPR26,ATP8B2,SLC22A11,PIK3IP1,SNORD114-15,MMP19,LRP12,HIST1H2BN
5161,OR10G8,BEST4,ZFP3,SERF2,CWC25,EREG,MMP12,RIMBP3C,LASS3
5162,OR10G9,KIAA0564,SLC10A5,PXN,BEST3,HPDL,HDDC3,CUBN,LIMS3-LOC440895
5163,C8orf51,NANOG,FHL1,HNRNPM,C6orf108,TMEM199,ZZZ3,ZNF329,TRIM61
5164,C8orf56,KIAA0562,FHL3,BRI3BP,PDCD4,C22orf23,SELM,GAPDHS,FBXO42
5165,C8orf55,BEST1,FHL2,SECISBP2,TRAK1,C22orf24,HOPX,GPC1,POLE3
5166,C8orf59,BEST2,ING1,GNPTAB,C20orf196,DCST2,GPBP1L1,GPC2,TLE1
5167,ISX,BEST3,MPST,MBD5,NECAP2,C22orf26,FOXA2,GPC3,HOXB13
5168,ALKBH7,SESN3,SNORA24,NEU4,SLC39A5,C22orf27,LRPAP1,GPC4,GAL3ST3
5169,OR10G7,FAM105A,PART1,NAP1L4,ZNF585B,GHRH,COPB1,GPC5,C6orf186
5170,ALKBH1,SORCS1,SLC10A6,C14orf166,SLC48A1,NMB,XCL1,GPC6,AKR1A1
5171,RALA,C3orf32,SH3GL1,DLX3,YIPF5,SMS,RAB3C,ZNF485,RAVER2
5172,ALKBH3,SORCS3,SLC10A7,GTF2H4,HOXD11,EIF2AK4,MAGEA10,LRFN5,WNT9B
5173,ALKBH2,RPL35A,RFPL4A,ZNF526,RNF20,TDG,ZC3H10,HEPH,KIAA0141
5174,ALKBH5,CARS2,SLC10A1,EXOSC10,GYPC,ZFYVE16,C20orf114,KRTAP15-1,RBM34
5175,ALKBH4,ALLC,NPY,SYT10,ZNF273,KRTAP10-8,TMEM105,MTAP,FIBCD1
5176,TCTE1,GPR21,SLC10A3,BAT1,FAM134B,SHROOM3,ARHGAP30,C21orf15,MATN4
5177,SSC5D,YPEL1,SH3GL2,LOC401127,ASIP,GARS,TMEM168,BICD1,ACOT8
5178,NFATC2,C3orf33,SH3GL3,PSMD8,TSGA10,MLLT11,KLHDC3,BBS9,BEGAIN
5179,FAM73A,SNORD11B,SNPH,RBM28,WDR43,APOA1,ATXN7,SEC22B,TOMM40L
5180,AP2B1,FYTTD1,MELK,SYNPO2L,HAUS4,TMTC2,LRRC17,SEC22A,FOXJ1
5181,USF1,TPSB2,SLC6A8,KIF18B,PCDHGB5,APOA2,ZNF398,SLC16A10,C11orf61
5182,RNASE11,GPKOW,RBM38,PARK7,ZNF230,ASAP3,C12orf57,BBS1,SYT13
5183,MYCBPAP,KIAA1614,EPHB4,ENOX1,EEFSEC,ASAP2,BTBD7,BBS2,C12orf26
5184,ZNF75D,SPDYE8P,PARP9,C7orf31,ERF,XPO5,BTBD6,BBS5,CHRNA7
5185,TMEM14A,TNPO2,EPHB6,PYGB,MEGF11,XPO4,GUCY2C,BBS4,LRP6
5186,FAM73B,TNPO3,EPHB1,ZNF876P,PDXK,XPO7,ZNF599,BBS7,ZNF608
5187,CSDAP1,FAM105B,EPHB3,RAB28,MRI1,SCARNA12,FAM165B,KIAA1984,NUBPL
5188,GTF2E1,FAM150A,EPHB2,PMS2L1,DPH2,LPIN3,SPATA1,ANKDD1A,ADCY3
5189,CCL8,C3orf31,UGT1A7,CCDC130,ZNF638,SCARNA11,SPATA2,C2orf49,CCDC111
5190,TAS2R20,RBM8A,RBM39,ACTR10,FAM161A,ASAP1,SIL1,C2orf48,ZNF22
5191,DHRS7C,EIF3CL,DNAJC5B,ERVFRDE1,DDX24,WDR26,SPATA3,INSL4,ZCWPW2
5192,CCL4,IL18R1,GSN,KRT23,ARHGAP4,SCARNA10,C10orf71,C2orf44,MTRF1L
5193,CCL7,PAK4,RPS3A,KIAA1875,SLC46A2,MYPN,BEX1,C2orf47,SNTA1
5194,NFATC4,ABCB11,CDK5R2,AK5,PLA2G2D,LEMD1,B3GALNT1,C2orf40,STAT6
5195,CCL1,BLNK,RBM33,FAM177A1,CNGA2,TTL,VSIG2,C2orf43,MTMR8
5196,HSBP1,ABCB10,TXNDC15,RBBP7,DIDO1,GART,C9orf70,C2orf42,TNFRSF12A
5197,GFER,PLLP,CDK5R1,ZNF419,ZNF711,SPRR2E,FAM81B,OR52B2,CYB5B
5198,CD46,GPR25,?|280660,TMEM14C,WIPI1,GAR1,KERA,ELANE,MEA1
5199,PPP1R14D,TMEM44,SPANXN2,MPL,FAM18B2,FAM123C,C21orf121,AGL,FAT1
5200,ZNF747,MMD2,TOM1L1,C9orf86,CASP3,FAM123B,C9orf72,AGK,ST20
5201,UBP1,COL6A4P2,LOC729375,FEZF1,FNIP1,FAM123A,TMEM67,OR52B4,PMVK
5202,PLEK2,PPP1R16B,TP53INP2,FXR1,SYP,MRPS18C,SUGT1P1,NIPA2,FLJ26850
5203,OR2AG1,SBK1,TIFAB,XKR3,UCP2,SOLH,PYHIN1,MGAT4C,WDR19
5204,OR2AG2,C3orf37,ALDH4A1,SGOL2,GGCT,DNASE1L1,MRGPRD,CELA2A,NDUFA7
5205,PPP1R14B,SLC25A40,ANG,COL4A6,STK33,TRNT1,DLX3,AGA,MAMLD1
5206,PABPC1L2A,ZNF737,TSN,SLC22A18AS,TRIM27,DNASE1L3,MMS19,CELA2B,FOXRED2
5207,SAMD5,LOC100130148,FBXO10,TCTN3,HYAL4,RAD51L3,GPR98,C13orf18,C15orf40
5208,ZCWPW2,SLC25A41,BTNL2,SALL4,SGSM1,TFB2M,SHOX2,FAM190A,SLC25A14
5209,PABPC1L2B,SLC34A2,BTNL3,MARVELD1,?|57714,LOC80154,PSPN,PDCD11,SLC25A3
5210,SCOC,SLC25A44,TP53INP1,AP3S2,BCAS3,FAM136B,KRT71,AGT,CLPTM1
5211,CYP26B1,SLC25A45,PARP6,LMO7,PUS7L,SETD3,SLC5A10,C13orf15,CXCL13
5212,SCML1,SLC25A46,BCCIP,PEX1,ZNF606,KIAA1033,SARS2,PDE9A,ROD1
5213,ZCWPW1,RWDD4A,BTNL8,DNAJC12,PNPLA2,XKR5,EPN2,C13orf16,COMMD7
5214,HS3ST3A1,CDC26,BTNL9,SLC22A14,C20orf20,LCA5L,TUG1,RAB11A,ERCC5
5215,NUBP1,DENND3,EPN2,ELP2,SIKE1,C8orf76,MAST3,FLJ12825,ADC
5216,ACTL6A,SNORD115-48,EPN3,KDM4D,B3GNT7,C14orf138,NUDT22,ESPN,OR2B11
5217,CRB1,CDC23,DNAJC5G,NETO2,USP39,RAB34,MPRIP,GPR180,ALDH1B1
5218,C5orf58,HOXD10,EPN1,LOC728392,GNAT2,PRKX,DSCAM,PIK3CA,SEMA4B
5219,XAGE3,CDC20,TYRO3,LOC146880,DAPK2,RAB32,CDKL3,GPR182,ST8SIA2
5220,ZNF32,NUP153,FHL5,MYCBP,ZFP106,RAB31,CDKL4,GPR183,FAM21B
5221,AK3L1,TNPO1,OR1K1,ARG1,TMEM216,GAGE10,KEL,PIK3CD,RRS1
5222,ZNF34,RRH,BAHD1,COL21A1,ZFX,C22orf42,PEA15,PIK3CG,HPN
5223,TXNDC16,TAF12,DCLRE1A,GNG12,ING1,SNORD114-18,SPHAR,ZSWIM4,LGI1
5224,DSN1,CCL11,YES1,SIGLEC6,C4orf7,GAGE13,GANC,ZSWIM5,GNG12
5225,ACTC1,CCL18,DCLRE1C,C9orf45,AMOT,RAB39,GAS6,IGF2AS,IPO13
5226,LAGE3,CCL17,DCLRE1B,CXCR2P1,APH1A,RAB38,EIF4G1,RAB11B,TRIM29
5227,RASIP1,CCL16,NIT2,NCOA4,HIST1H4E,DOK2,STK38L,TBCA,PTS
5228,ATP8B2,CCL15,ZFP36L1,CD300LB,LOC147727,DOK3,HRNR,ZSWIM2,FAM59A
5229,XAGE5,CCL14,MYLPF,C1orf133,PSMD1,DOK1,SCARNA8,LOC91450,NTNG2
5230,MDFI,CCL13,DIP2C,ZNF407,MNX1,UGT1A3,PFKFB4,PRND,COX6A1
5231,FGF21,BCAP31,DNA2,GCNT4,HSF2,DOK6,PDGFRA,TMEM57,PSMD11
5232,FGF20,GCN1L1,DIP2B,RNF170,MTOR,CD163L1,MYLIP,TMEM54,LY6G6D
5233,FGF23,KLK15,DIP2A,KIF22,AUTS2,DOK4,SULT1B1,SCLY,DNAJA1
5234,FGF22,SNORD49B,FLJ10661,KIAA1644,SLC25A44,DOK5,BCL2,RER1,ERICH1
5235,NVL,THNSL1,LGI2,C11orf61,PGBD2,C6orf222,FMNL1,SCG5,SSBP2
5236,SNORD36B,THNSL2,HMGXB4,ZNF740,TNNT1,C6orf223,STK10,TMEM51,TMEM121
5237,ZFP3,VWA3B,HMGXB3,ADRA1B,ZNF649,MCEE,DICER1,FAM59A,MUC7
5238,SNPH,SERINC2,WBP1,C1orf156,LOC100132354,C6orf221,DHX29,MGC15885,PARD3B
5239,SLC10A5,CCL19,SNORD41,WDR37,RAP1B,C6orf226,GPAT2,PAR-SN,GALNT12
5240,FHL1,METTL3,ECT2,SAMD9L,CCDC109A,C6orf227,FKBP6,GSC2,LOC200726
5241,FHL3,METTL4,VTRNA1-1,FAM186A,PGAM5,C8orf73,IL32,PLEKHA6,PCDHGA4
5242,FHL2,KLK14,KCNS3,ELK1,NFYC,GCNT7,LRAT,FAM84B,WDR55
5243,ING1,METTL2A,ZCCHC4,MCM10,AKT1S1,CAMSAP1L1,HOXC9,SNORD16,HOMER3
5244,MPST,METTL5,ZCCHC5,HLA-H,HSPA4,GCNT4,ACAD10,POLR3GL,NSMCE4A
5245,SNORA24,METTL6,ZCCHC6,ADCY3,TAP2,POMC,ANXA2,FAM84A,SLC25A37
5246,PART1,NDUFAF4,ZCCHC7,PTPRN,HNF1A,UGT1A1,LAT,KCNN3,LYRM5
5247,SLC10A6,TAS2R43,CYP4A22,FAM66C,RPSAP52,CLASP2,ZMIZ1,SNORD17,ENDOD1
5248,SH3GL1,STAT5B,ZCCHC2,SLC35C1,ZNF177,ZNF174,C6orf208,MEG3,C7
5249,SLC10A7,KLK11,TBX4,MLNR,KPNA5,XKR4,MED29,TAGLN,PCDHGC3
5250,RFPL4A,LOC619207,KCNS2,PIH1D1,CCDC78,XKR7,CCNJ,SC65,CHCHD2
5251,SLC10A1,TAS2R40,KIAA1632,AGAP1,TRAM1,XKR6,GTPBP1,TRAFD1,RAC3
5252,NPY,FDX1L,KCNS1,IGSF5,LASP1,XKR3,CELF4,PIK3C3,NDRG4
5253,SLC10A3,GPR87,WDFY4,CAV3,FRAS1,XKR9,RHAG,LOC541471,RNF185
5254,SH3GL2,KLK13,ZCCHC9,B4GALT6,PTPRU,GLUD2,ATP11B,MEG8,ADRA1B
5255,SH3GL3,OR56B4,LOC143188,HSH2D,DHX30,GLUD1,HES3,PRRG4,C6orf208
5256,RIMS4,GPR22,NADK,TRAM2,KCNE2,SLC6A15,EMR2,RPL18,SV2C
5257,MELK,FAM71D,KIAA1712,CCDC129,FBP2,ISG20,TTC18,ZNF675,EPC2
5258,FHL5,NMNAT3,STAM2,TRANK1,FLJ40330,HSP90AA1,ZNF33A,ZNF674,CDC20B
5259,UGT1A7,URM1,LGI1,ALG9,ASF1A,TADA1,MRRF,ZNF673,C17orf57
5260,SPANXN2,SPA17,GPA33,C2orf15,THOC1,TADA3,CIB2,ORM1,ZNF167
5261,EPHB4,MAPK3,PUS10,GREM1,PGM2,GCNT2,SCARNA2,ORM2,GABRP
5262,PARP9,SPAG1,SNAR-I,GTF2IP1,HESRG,CD53,CCDC86,PRRG3,WDR18
5263,EPHB6,MAPK1,KIAA1755,TNF,C1orf216,RNF168,ZNF682,ORC6L,RSPO1
5264,EPHB1,MAPK6,SFTPA1,FZR1,LATS1,GCNT3,PIAS1,MAX,GPR83
5265,EPHB3,MAPK7,WWC1,C16orf13,CLN6,NDUFS8,PABPC1P2,PARP14,SPATC1
5266,EPHB2,BCO2,FLJ40852,N6AMT1,LOH12CR2,CD55,OR4C46,MAZ,MRPL51
5267,RBM38,PPP1R12C,KIAA1751,PART1,RAC1,SNORD90,NUMBL,ERI2,ITPR3
5268,TOM1L1,MAPK8,ITPRIPL1,C13orf37,KLHDC7B,CD58,PPP2R5E,ERI3,PTF1A
5269,RBM39,MAPK9,ITPRIPL2,ADRA1D,TWISTNB,CD59,CPNE8,KTI12,RNF13
5270,GSN,OGG1,ZNF248,TAS2R13,COMMD3,HAX1,THAP8,ERI1,DENND5B
5271,RPS3A,SGPP2,LOC100189589,FDXR,OFD1,SLC32A1,FAM118B,VPS8,FGD1
5272,CDK5R2,CUZD1,BSPRY,TRAPPC6B,ZNF157,TMEM184B,SCML2,TUBA1B,CNOT6
5273,RBM33,GPR20,SUV420H2,AGRN,KIAA0776,UGT1A8,UBE2NL,MAG,SLC35B2
5274,TXNDC15,WTAP,UGGT1,IDH2,DUSP22,UGT1A9,CARTPT,MAF,SH3BP2
5275,CDK5R1,BCOR,SULT1C4,TNNC1,RGS9,NNAT,HRH2,ACLY,RBM14
5276,DNAJC5B,OR1J2,TSGA10,PBXIP1,KCNQ5,SLC25A3,FAM104B,MAK,CCDC116
5277,PARP6,LYL1,UGGT2,YBX1,S1PR3,KIAA1324,KIF6,AG2,AKAP3
5278,SLC6A8,DAZAP1,FTH1,TMEM38B,TGIF1,UGT1A6,MNT,LOC100190986,PAR1
5279,BTNL3,ATP8A2,LOC732275,NLN,OR4F29,SNORD92,LOC100128822,SLC7A5,PILRA
5280,LOC729375,PGPEP1L,RFPL3S,PPIAL4G,EPB41L1,C22orf43,ZNF584,NXF2B,COMMD4
5281,TIFAB,TRH,VTRNA1-3,TBX2,DEGS1,FTSJ1,RBM46,KRTAP11-1,CYP2C19
5282,ALDH4A1,STAG3L3,C5orf15,TRMU,HIST1H1B,KHSRP,HSPA1L,EVL,FCER1A
5283,ANG,ZNF625,GATAD2A,CHCHD6,SLC35D3,LOC284661,TBPL1,OR1B1,SEMA4D
5284,TSN,FAM71A,TRMT2A,C21orf7,DBF4B,ACTL6B,TPH1,ALDH3A2,ARHGAP42
5285,FBXO10,FAM71C,COL21A1,FBXO8,CXCR7,C5orf58,RPRD1B,ALDH3A1,STRN4
5286,BTNL2,STAG3L1,ST7OT4,TTBK1,ZNF594,EIF5,RPRD1A,WFDC1,ELF5
5287,TP53INP2,KIAA1804,UGT1A10,HSPD1,FKRP,C5orf56,P2RX7,HAS2AS,SEC24D
5288,EPN1,FAM71B,PDPR,PTTG1,PPP1R1B,C5orf55,AR,EDC3,SOX8
5289,TP53INP1,SERINC3,CTDSPL2,WWC3,RPS2P32,C5orf54,5-Mar,MGST1,UBE4B
5290,BCCIP,PGM1,LOC286238,ZNF37B,RASSF10,C5orf53,?|390284,SLC35B4,ITGA1
5291,BTNL8,FAF2,ALDH7A1,TOMM22,TDRD1,C5orf52,DUSP9,EDC4,VCP
5292,BTNL9,C1orf100,C9orf144B,ALDH1L2,SOX13,C5orf51,CLNS1A,KRTAP19-5,ARHGDIG
5293,EPN2,CALN1,?|391343,GBF1,DIABLO,SPATA4,MAS1,ATXN3L,DENND2D
5294,EPN3,KCNN1,PYY2,MOV10L1,RPGRIP1,HIST1H4C,HDLBP,SEMA4C,TOB2
5295,DNAJC5G,KCNN2,VASH2,FUT6,SH2D5,HIST1H4B,MATR3,CSDE1,TYRP1
5296,TYRO3,FASLG,RWDD2B,MSC,ZNF232,HIST1H4A,METRNL,C9orf130,CDH10
5297,OR1K1,KCNN4,RAD51C,C5orf32,SERF1A,HIST1H4G,SHC2,BACH2,C1orf122
5298,RBM34,SOCS4,PAWR,SPN,XDH,SPATA9,C14orf34,BACH1,SLC26A3
5299,MYLPF,BAMBI,RBM34,ZCRB1,CACNA1C,HIST1H4F,KBTBD5,JAM3,PPIL2
5300,SNORD41,SOCS6,TRIAP1,ZNF473,NOL8,HIST1H4E,ZNF320,SNORD36A,ATP6V0D2
5301,DCLRE1A,BRMS1,GK5,CCNA1,C9orf64,HIST1H4D,SLC9A10,GMDS,LRMP
5302,YES1,FCGBP,ASB14,C5orf13,SMTNL1,HIST1H4K,TMUB2,LSR,BRMS1L
5303,DCLRE1C,RANGAP1,C12orf57,PPP1R7,BBS10,LPGAT1,GCAT,LSS,DYDC2
5304,DCLRE1B,TANC1,C12orf56,DSEL,ANKRD32,HIST1H4I,C14orf179,RASEF,SPIRE2
5305,NIT2,C20orf29,LRPPRC,NOTCH2NL,MCM4,HIST1H4H,CLSTN2,SLC37A3,PDGFRL
5306,ZFP36L1,TMF1,GPR37,LYN,NPM2,OR10T2,FXN,CYTSA,GSTA4
5307,BAHD1,RAB27A,GPR34,SEC14L1,TEX14,ZDHHC17,KCNE2,CYTSB,NUDT1
5308,ECT2,ANKHD1-EIF4EBP3,GPR35,STX7,FAM66C,LOC728024,PIK3CB,KCNIP4,TRO
5309,DIP2C,PMS1,GPR32,TAF4B,RPL19P12,HIST1H4L,ALKBH3,KCNIP3,RAD51L1
5310,DIP2B,PMS2,GPR31,ANXA7,BAAT,ZDHHC16,ZNF567,KCNIP2,C4orf46
5311,DIP2A,ATXN7L3B,CYMP,RASSF7,NCRNA00160,CD226,IL1B,KCNIP1,KRTCAP2
5312,FLJ10661,SLC45A1,KIAA1919,XRRA1,CLEC4D,LOX,MFSD6L,LOC388946,PLS3
5313,LGI2,SLC22A2,ZNF667,ACCN4,PLEKHA1,SPATA8,FOXO3B,PRSS55,TMEM134
5314,HMGXB4,SNRPA1,POM121L1P,SPON1,KCNA4,TSGA13,FAM83A,PRSS54,C1orf159
5315,HMGXB3,SNORD51,GSR,TMEM159,AHR,C1orf203,STAMBPL1,ZNF778,GNPAT
5316,DNA2,ISLR,YDJC,GRIN1,GMCL1L,DACH1,LRP12,LOC220594,FGFR1OP2
5317,KIAA1632,KCNMB4,WDR13,PKLR,SLFN12,PDIA6,RIMBP3C,LOC729799,MORC2
5318,LGI1,PKIG,GPR39,BCL2L10,ARAF,C1orf201,BRDT,C10orf113,LRRC42
5319,ZCCHC2,C9orf171,C12orf54,ZNF394,HMGCL,C1orf200,DNMT3B,HAND1,GPC5
5320,C17orf61,HSDL2,C12orf52,HLA-L,RBP7,PDIA3,TRAF3IP2,RPL23P8,MAVS
5321,C17orf60,C9orf173,FAM160A2,ARHGEF10L,IRAK2,PDIA2,PEX5L,MPV17,HSPB11
5322,ZCCHC4,HSDL1,STAP1,LAMB1,CUEDC2,TRIM26,WASF1,BYSL,SYT5
5323,ZCCHC5,C9orf172,MAPRE3,ESD,TGM2,C1orf204,EIF3G,LIN28A,MGP
5324,ZCCHC6,THAP5,MAPRE1,OR2T27,RTDR1,ZBTB48,U2AF1L4,FAM136A,DMBX1
5325,ZCCHC7,C20orf24,SH3BP4,ELL3,KLK6,ELF1,ARMC10,TMEM102,KLHL12
5326,CYP4A22,SOCS1,INGX,PORCN,HSF5,KIAA1529,TSPAN5,OTUD7B,ASCL2
